,code,return,return_group,winner_loser,name,dividend_yield,pe_ttm_x,pb_x,total_mv,pe_ttm_y,pe_group,pe_tag,pb_y,pb_group,pb_tag,market_cap_group
0,603009,5.7257336343115135,10,winner,北特科技,0.136,196.0194,9.2879,1530138.2794,196.0194,high,pe_high,9.2879,high,pb_high,medium
1,601127,3.776223776223776,10,winner,赛力斯,0.229,33.7008,10.1285,21818504.1768,33.7008,medium,medium,10.1285,high,pb_high,large
2,003010,3.4927536231884058,10,winner,若羽臣,0.2799,102.1489,12.4628,1228207.4313,102.1489,high,pe_high,12.4628,high,pb_high,medium
3,002779,3.337755372777926,10,winner,中坚科技,0.1416,184.3059,18.1482,1398381.6,184.3059,high,pe_high,18.1482,high,pb_high,medium
4,603360,2.5761961015948023,10,winner,百傲化学,1.5368,47.3501,9.1445,1406797.5188,47.3501,high,pe_high,9.1445,high,pb_high,medium
5,000880,2.1166060606060606,10,winner,潍柴重机,0.5659,54.6397,5.0364,1053930.8286,54.6397,high,pe_high,5.0364,high,pb_high,medium
6,605488,2.055436183927804,10,winner,福莱新材,0.3864,67.801,6.502,979968.1507,67.801,high,pe_high,6.502,high,pb_high,medium
7,603099,2.0201126307320996,10,winner,长白山,0.2088,72.2224,8.549,996279.12,72.2224,high,pe_high,8.549,high,pb_high,medium
8,002130,1.9588932323479111,10,winner,沃尔核材,0.784,29.5792,4.6879,2702482.4155,29.5792,medium,medium,4.6879,high,pb_high,large
9,603667,1.8801897983392648,10,winner,五洲新春,0.5036,144.147,4.4582,1317360.438,144.147,high,pe_high,4.4582,high,pb_high,medium
10,002891,1.8179942875277688,10,winner,中宠股份,0.6936,48.1033,7.6273,2062340.6578,48.1033,high,pe_high,7.6273,high,pb_high,large
11,000628,1.8021545473378904,10,winner,高新发展,0.3511,514.1693,7.2105,1525020.12,514.1693,high,pe_high,7.2105,high,pb_high,medium
12,002896,1.732788296041308,10,winner,中大力德,0.1069,153.8227,9.4986,1131668.2395,153.8227,high,pe_high,9.4986,high,pb_high,medium
13,603121,1.6925409338993331,10,winner,华培动力,0.7643,189.3121,6.3983,797246.8988,189.3121,high,pe_high,6.3983,high,pb_high,medium
14,001696,1.6788539826407558,10,winner,宗申动力,1.1542,43.7041,4.7584,2480128.3087,43.7041,medium,medium,4.7584,high,pb_high,large
15,605499,1.6203488372093022,10,winner,东鹏饮料,1.1484,47.8096,23.6695,17416275.396,47.8096,high,pe_high,23.6695,high,pb_high,large
16,603766,1.605019815059445,10,winner,隆鑫通用,0.7052,21.2459,3.285,2911922.3433,21.2459,medium,medium,3.285,high,pb_high,large
17,603809,1.6014883243520657,10,winner,豪能股份,0.6779,33.5005,3.9561,1159482.8697,33.5005,medium,medium,3.9561,high,pb_high,medium
18,002625,1.592789296292514,10,winner,光启技术,0.5903,127.2728,9.3395,8484767.0006,127.2728,high,pe_high,9.3395,high,pb_high,large
19,605196,1.5453237410071945,10,winner,华通线缆,0.4314,31.0909,2.631,841900.6575,31.0909,medium,medium,2.631,high,pb_high,medium
20,002827,1.543,10,winner,高争民爆,0.471,56.0912,9.4999,879060.0,56.0912,high,pe_high,9.4999,high,pb_high,medium
21,001212,1.4899019042123487,10,winner,中旗新材,0.213,700.5657,4.8182,830292.07,700.5657,high,pe_high,4.8182,high,pb_high,medium
22,603499,1.4643051771117164,10,winner,DR翔港科,0.1326,47.9422,5.9626,488992.5342,47.9422,high,pe_high,5.9626,high,pb_high,small
23,001309,1.446219498851078,10,winner,德明利,0.0756,226.51,8.0349,1947390.9436,226.51,high,pe_high,8.0349,high,pb_high,large
24,605198,1.3986186482486431,10,winner,安德利,0.4555,56.1661,6.0326,1647996.0,56.1661,high,pe_high,6.0326,high,pb_high,large
25,600592,1.3908265647396083,10,winner,龙溪股份,0.5527,76.5839,3.6894,918174.1062,76.5839,high,pe_high,3.6894,high,pb_high,medium
26,601086,1.3723577235772355,10,winner,国芳集团,1.2855,165.1484,5.8267,927072.0,165.1484,high,pe_high,5.8267,high,pb_high,medium
27,003001,1.3470643939393938,10,winner,中岩大地,0.32,68.2655,3.8611,468907.9782,68.2655,high,pe_high,3.8611,high,pb_high,small
28,603662,1.341404722514664,10,winner,柯力传感,0.5113,62.579,6.6765,1834447.8415,62.579,high,pe_high,6.6765,high,pb_high,large
29,002734,1.3137068692624247,10,winner,利民股份,1.2965,48.1098,3.1566,952422.67,48.1098,high,pe_high,3.1566,high,pb_high,medium
30,603663,1.2960000000000005,10,winner,三祥新材,0.316,143.6122,7.6371,1005166.8139,143.6122,high,pe_high,7.6371,high,pb_high,medium
31,603699,1.2954271961492176,10,winner,纽威股份,2.6405,21.2227,5.6347,2592398.9586,21.2227,medium,medium,5.6347,high,pb_high,large
32,603319,1.2807993928661774,10,winner,美湖股份,0.9524,49.9366,3.567,873775.3764,49.9366,high,pe_high,3.567,high,pb_high,medium
33,603166,1.2762886597938143,10,winner,福达股份,1.0533,49.4716,4.5163,1082399.4904,49.4716,high,pe_high,4.5163,high,pb_high,medium
34,002988,1.2658753709198811,10,winner,豪美新材,0.6474,48.2301,3.395,926296.1742,48.2301,high,pe_high,3.395,high,pb_high,medium
35,603332,1.262275449101797,10,winner,苏州龙杰,0.7551,73.796,3.3472,428367.4243,73.796,high,pe_high,3.3472,high,pb_high,small
36,600114,1.261735807860262,10,winner,东睦股份,1.0411,27.6956,4.3344,1184072.6593,27.6956,medium,medium,4.3344,high,pb_high,medium
37,002165,1.2401760452687836,10,winner,红 宝 丽,0.9833,144.7171,3.6404,747769.4242,144.7171,high,pe_high,3.6404,high,pb_high,medium
38,002365,1.2333435677003377,10,winner,永安药业,0.4764,214.044,3.1138,614707.695,214.044,high,pe_high,3.1138,high,pb_high,medium
39,600178,1.2180365296803652,10,winner,东安动力,0.0422,343.1208,2.2831,582532.2396,343.1208,high,pe_high,2.2831,medium,medium,medium
40,605088,1.215109573241061,10,winner,冠盛股份,1.576,21.5382,2.7012,680020.2376,21.5382,medium,medium,2.7012,high,pb_high,medium
41,600839,1.2120167976741685,10,winner,四川长虹,0.5045,52.3813,3.0463,4574698.024,52.3813,high,pe_high,3.0463,high,pb_high,large
42,002979,1.195247270391779,10,winner,雷赛智能,0.2645,68.3023,9.5061,1377615.7129,68.3023,high,pe_high,9.5061,high,pb_high,medium
43,000801,1.1952243505641564,10,winner,四川九洲,0.639,89.0323,5.2052,1600692.401,89.0323,high,pe_high,5.2052,high,pb_high,medium
44,605319,1.1761998685075608,10,winner,无锡振华,1.7974,20.3637,3.3035,804448.1125,20.3637,medium,medium,3.3035,high,pb_high,medium
45,603988,1.157048521389607,10,winner,中电电机,0.2528,453.925,8.7654,558129.6,453.925,high,pe_high,8.7654,high,pb_high,medium
46,000099,1.1496451712434437,10,winner,中信海直,0.3722,54.7707,3.2033,1702815.4507,54.7707,high,pe_high,3.2033,high,pb_high,large
47,002085,1.135168961201502,10,winner,万丰奥威,0.9363,48.4828,4.6622,3401522.627,48.4828,high,pe_high,4.6622,high,pb_high,large
48,002826,1.1310466138962183,10,winner,易明医药,0.1362,111.6926,5.4058,411291.9068,111.6926,high,pe_high,5.4058,high,pb_high,small
49,603337,1.1295942720763723,10,winner,杰克股份,2.0996,20.3241,3.8638,1768327.5044,20.3241,medium,medium,3.8638,high,pb_high,large
50,600605,1.1135301188727127,10,winner,汇通能源,1.6173,82.0,5.6128,765307.8116,82.0,high,pe_high,5.6128,high,pb_high,medium
51,603093,1.1125461254612543,10,winner,南华期货,0.3212,27.3679,3.0557,1253685.4101,27.3679,medium,medium,3.0557,high,pb_high,medium
52,000062,1.1068572813181488,10,winner,深圳华强,1.7668,102.0137,3.8819,2663931.0431,102.0137,high,pe_high,3.8819,high,pb_high,large
53,002488,1.1055045871559632,10,winner,金固股份,0.0813,697.801,4.2238,1466281.7427,697.801,high,pe_high,4.2238,high,pb_high,medium
54,600480,1.0926253687315637,10,winner,凌云股份,2.3734,21.3708,1.7807,1386909.0028,21.3708,medium,medium,1.7807,medium,medium,medium
55,603767,1.0693069306930694,10,winner,中马传动,1.2165,208.7886,3.7007,507390.186,208.7886,high,pe_high,3.7007,high,pb_high,small
56,605099,1.0555794915984489,10,winner,共创草坪,1.2053,32.8263,6.7467,1792528.246,32.8263,medium,medium,6.7467,high,pb_high,large
57,000795,1.0497737556561084,10,winner,英洛华,0.2232,54.2906,5.1558,1350217.7667,54.2906,high,pe_high,5.1558,high,pb_high,medium
58,000737,1.043758043758044,10,winner,北方铜业,0.9816,24.1319,2.7228,1805671.1804,24.1319,medium,medium,2.7228,high,pb_high,large
59,002892,1.038475836431227,10,winner,科力尔,0.3967,195.8405,7.8199,1007559.8396,195.8405,high,pe_high,7.8199,high,pb_high,medium
60,002345,1.0203700242945244,10,winner,潮宏基,2.3891,51.7122,3.7203,1301671.1158,51.7122,high,pe_high,3.7203,high,pb_high,medium
61,600113,1.0183374083129586,10,winner,浙江东日,1.2961,41.7281,2.4558,585435.5574,41.7281,medium,medium,2.4558,medium,medium,medium
62,600160,0.9959325480891448,10,winner,巨化股份,0.4026,30.0068,4.0986,7375706.2933,30.0068,medium,medium,4.0986,high,pb_high,large
63,003041,0.993952483801296,10,winner,真爱美家,1.2388,18.0703,2.988,464976.0,18.0703,low,pe_low,2.988,high,pb_high,small
64,603333,0.9652677279305354,10,winner,尚纬股份,0.1137,297.4727,2.6316,546322.7481,297.4727,high,pe_high,2.6316,high,pb_high,medium
65,002700,0.9620615604867572,10,winner,新疆浩源,0.8072,40.2449,2.7957,368956.341,40.2449,medium,medium,2.7957,high,pb_high,small
66,603379,0.9618342352606094,10,winner,XD三美股,0.4777,28.6842,4.4582,2939456.5632,28.6842,medium,medium,4.4582,high,pb_high,large
67,000833,0.9611913357400722,10,winner,粤桂股份,0.4025,28.4046,2.5771,946457.0208,28.4046,medium,medium,2.5771,medium,medium,medium
68,603583,0.9523376387120248,10,winner,捷昌驱动,0.4719,42.6112,3.1943,1385428.5332,42.6112,medium,medium,3.1943,high,pb_high,medium
69,603657,0.9506076048608388,10,winner,春光科技,0.3202,200.7191,4.5326,426949.9379,200.7191,high,pe_high,4.5326,high,pb_high,small
70,600292,0.9476241900647948,10,winner,远达环保,0.2253,218.3266,1.8692,970555.3943,218.3266,high,pe_high,1.8692,medium,medium,medium
71,600415,0.9300312575138252,10,winner,小商品城,1.064,32.5832,4.8368,10309254.3409,32.5832,medium,medium,4.8368,high,pb_high,large
